description,sync_key,llm_key,differs
"Elkjoep nettbutikk","elkjoep nettbutikk","elkjoep nettbutikk",""
"Ellos Norway AS","ellos norway as","ellos norway as",""
"Eurosko","eurosko","eurosko",""
"FILIAL AF BANKING CIRCLE","filial af banking circle","filial af banking circle",""
"FINN Enhjoerning fra Ru","finn enhjoerning fra ru","finn enhjoerning fra ru",""
"FJORD1 FERDAMAT STRANDAVN. FLORØ","fjord1 ferdamat strandavn. florø","fjord1 ferdamat strandavn. florø",""
"FLYT AS","flyt as","flyt as",""
"FRANK WALTON AS OLAVRYESSPLA OSLO","frank walton as olavryesspla oslo","frank walton as olavryesspla oslo",""
"FREMTIND FORSIK","fremtind forsik","fremtind forsik",""
"FS MapTiler","fs maptiler","fs maptiler",""
"Fet Idrettslag","fet idrettslag","fet idrettslag",""
"Fet Idrettslag Kios","fet idrettslag","fet idrettslag",""
"Fjellsport.no","fjellsport.no","fjellsport.no",""
"Fjordkraft AS","fjordkraft as","fjordkraft as",""
"Foodora Norway","foodora norway","foodora norway",""
"Forfall","forfall","forfall",""
"Fra fond","fra fond","fra fond",""
"Fra:","fra:","fra:",""
"Fremtind Forsik","fremtind forsik","fremtind forsik",""
"Fremtind Forsikring","fremtind forsik","fremtind forsikring","YES"
"GITHUB, INC","github, inc","github, inc",""
"GJENSIDIGE FORSIKRING ASA","gjensidige forsikring asa","gjensidige forsikring asa",""
"GODT BRØD THORVALD MEY OSLO","godt brød thorvald mey oslo","godt brød thorvald mey oslo",""
"GREAT STEAK","great steak","great steak",""
"GROUP.ONE NORWAY AS - PROISP","group.one norway as - proisp","group.one norway as - proisp",""
"GRÆNDSENS SKOTØ GRENSEN OSLO","grændsens skotø grensen oslo","grændsens skotø grensen oslo",""
"GUSTAVSEN AS","gustavsen as","gustavsen as",""
"Get Inspired","get inspired","get inspired",""
"GlasmagasinetANS","glasmagasinetans","glasmagasinetans",""
"Golf Fun Park","golf fun park","golf fun park",""
"Google GSUITE_hoi.by","google","google gsuite","YES"
"Google Workspace_hoi.by","google","google workspace","YES"
"Grill","grill","grill",""
"H vard Wormda","h vard wormda","h vard wormda",""
"HAAGEN-DAZS","haagen-dazs","haagen-dazs",""
"HELFO","helfo","helfo",""
"HMS Host International","hms host international","hms host international",""
"HOOPLA AS","hoopla as","hoopla as",""
"HOTEL AT BOOKING.C","hotel","hotel",""
"HOTEL BRISTOL R KRISTIAN IV` OSLO","hotel","hotel bristol","YES"
"HOTEL INDIGO MINNEAPOLIS","hotel","hotel indigo","YES"
"Hans Martin Høiby","hans martin høiby","hans martin høiby",""
"Hernan Christiam Torres Arroyo","hernan christiam torres arroyo","hernan christiam torres arroyo",""
"Himla brukskonto Boliglån","himla brukskonto boliglån","himla brukskonto boliglån",""
"HØLSTOVEGEN C/O OLE MORT RINDAL","hølstovegen c/o ole mort rindal","hølstovegen c/o ole mort rindal",""
"Håvard Gressum Antonsen","håvard","håvard gressum antonsen","YES"
"Håvard Wormdal Høiby","håvard","håvard wormdal høiby","YES"
"I HEART MINNESOTA","i heart minnesota","i heart minnesota",""
"IKEA FURUSET HF STRØMSVEIEN OSLO","ikea furuset","ikea furuset",""
"IKEA FURUSET IF STRØMSVEIEN OSLO","ikea furuset","ikea furuset",""
"IKIGAI-japan B5LZNM4Z","ikigai-japan b5lznm4z","ikigai-japan b5lznm4z",""
"INFO-TERIA PIBE","info-teria pibe","info-teria pibe",""
"INNSKUDDSRENTE","innskuddsrente","innskuddsrente",""
"IT'S SUGAR MALL OF AMERI","it's sugar mall of ameri","it's sugar mall of ameri",""
"Ida Scheen","ida scheen","ida scheen",""
"Ingensteds","ingensteds","ingensteds",""
"Iver Høiby","iver høiby","iver høiby",""
"JAMAL'S FALAFEL FELTSPATVEIE OSLO","jamal's falafel feltspatveie oslo","jamal's falafel feltspatveie oslo",""
"JERNIA BØLER OSLO","jernia","jernia",""
"JERNIA HOLTET KONGSVEIEN OSLO","jernia","jernia",""
"JOKER ABILDSØ","joker","joker",""
"JOKER ABILDSØ ENEBAKKVEIEN OSLO","joker","joker",""
"JOKER HØYBRÅTEN HØYBRÅTENVEI OSLO","joker","joker",""
"JOKER KVADRATUR TOLLBUGATA OSLO","joker","joker",""
"JOKER PRINSENSG PRINSENSGATE OSLO","joker","joker",""
"JOTTACLOUD","jottacloud","jottacloud",""
"JULA LØRENSKOG SOLHEIMVEIEN LØRENSKOG","jula lørenskog solheimveien lørenskog","jula lørenskog solheimveien lørenskog",""
"Jan Gunnar Furuly","jan gunnar furuly","jan gunnar furuly",""
"Jarand Ullestad","jarand ullestad","jarand ullestad",""
"Jernia","jernia","jernia",""
"Jonathan sushi take","jonathan sushi take","jonathan sushi take",""
"Justyna Promowicz","justyna promowicz","justyna promowicz",""
"KAFFEBRENNERIET GRØNLANDSLEI OSLO","kaffebrenneriet","kaffebrenneriet",""
"KAFFEBRENNERIET SKOVVN. OSLO","kaffebrenneriet","kaffebrenneriet",""
"KAFFEBRENNERIET STORGT. OSLO","kaffebrenneriet","kaffebrenneriet",""
"KARLS TOURISMUS GMBH","karls tourismus gmbh","karls tourismus gmbh",""
"KB40 KAFFEBRENN DRONNING EUF OSLO","kb40 kaffebrenn dronning euf oslo","kb40 kaffebrenn dronning euf oslo",""
"KERN BAECKEREI CAFE","kern baeckerei cafe","kern baeckerei cafe",""
"KID ALNAB STRØMSVEIEN OSLO","kid alnab strømsveien oslo","kid alnab strømsveien oslo",""
"KID STORG STORGATA OSLO","kid storg storgata oslo","kid storg storgata oslo",""
"KIWI BOGERU STALLERUDVEI OSLO","kiwi","kiwi",""
"KIWI BYPORT JERNBANETORG OSLO","kiwi","kiwi",""
"KIWI BØLERL","kiwi","kiwi",""
"KIWI BØLERL BØLERLIA OSLO","kiwi","kiwi",""
"KIWI FAGERS MYKLERUDVN. FAGERSTRAND","kiwi","kiwi",""
"KIWI TONSEN RØDBERGVEIEN OSLO","kiwi","kiwi",""
"KJELL &CO NO005 GAMLEVEIEN RASTA","kjell","kjell & co","YES"
"KJELL.COM/NO","kjell","kjell.com","YES"
"KLINGENBERG OLAV VS GT OSLO","klingenberg olav vs gt oslo","klingenberg olav vs gt oslo",""
"KONTANTINNSKUDD I BUTIKK KIWI BØLERL OSLO","kontant","kiwi","YES"
"KONTANTUTTAK VISA TRANS(ER) TYPE","kontant","visa","YES"
"KORTLEVERT AS","kortlevert as","kortlevert as",""
"KUNSTPAUSE AS","kunstpause as","kunstpause as",""
"Kafe Bokmarked Noek","kafe bokmarked noek","kafe bokmarked noek",""
"Karma.no_","karma.no_","karma.no_",""
"Kattnakken A s","kattnakken a s","kattnakken a s",""
"Kindle B262J2E50","kindle b262j2e","kindle b262j2e50","YES"
"Kistefos billetter","kistefos billetter","kistefos billetter",""
"Kjetil Høiby","kjetil høiby","kjetil høiby",""
"Kost1.no","kost1.no","kost1.no",""
"Kulturkirken Jakob / R","kulturkirken jakob / r","kulturkirken jakob / r",""
"LAMPEHUSET ALNA SMALVOLLVEIE OSLO","lampehuset alna smalvollveie oslo","lampehuset alna smalvollveie oslo",""
"LEGO MALL OF AMERICA","lego mall of america","lego mall of america",""
"LEOSLEKELAND.NO E4US9YED4","leoslekeland.no e4us9yed","leoslekeland.no e4us9yed4","YES"
"LIDLDANMARKKS","lidldanmarkks","lidldanmarkks",""
"LINDEX AS JERNBANETORG OSLO","lindex","lindex",""
"LINDEX GRENSEN GRENSEN - OSLO","lindex","lindex",""
"LOfavør","lofavør","lofavør",""
"LUSH DIVE AS THORVALD MEY OSLO","lush dive as thorvald mey oslo","lush dive as thorvald mey oslo",""
"Lambertseter SK","lambertseter sk","lambertseter sk",""
"Lappeliten.no","lappeliten.no","lappeliten.no",""
"Legeakademiet","legeakademiet","legeakademiet",""
"Lekekassen.no","lekekassen.no","lekekassen.no",""
"Lily-Bankett","lily-bankett","lily-bankett",""
"Linda Grønningsæter Digernes","linda grønningsæter digernes","linda grønningsæter digernes",""
"Lindex AS","lindex as","lindex as",""
"Løpende","løpende","løpende",""
"MAMMA PIZZA AS DRONNINGENS OSLO","mamma pizza as dronningens oslo","mamma pizza as dronningens oslo",""
"MARRIOTT MINNEAPOLIS C","marriott minneapolis","marriott","YES"
"MARRIOTT MINNEAPOLIS F","marriott minneapolis","marriott","YES"
"MAXBO SINSEN HANS NIELSEN OSLO","maxbo s","maxbo","YES"
"MAXBO STORMARKE DRAMMENSVEIE OSLO","maxbo s","maxbo","YES"
"MAXIM FIREWORKS SANNERGATA OSLO","maxim fireworks sannergata oslo","maxim fireworks sannergata oslo",""
"MEDLEMSKAP DES","medlemsk","medlemskap","YES"
"MEDLEMSKAP FEB","medlemsk","medlemskap","YES"
"MEDLEMSKAP JAN","medlemsk","medlemskap","YES"
"MEDLEMSKAP MAR","medlemsk","medlemskap","YES"
"MEDLEMSKAP NOV","medlemsk","medlemskap","YES"
"MEDLEMSKAP OKT","medlemsk","medlemskap","YES"
"MEDLEMSKONTINGE","medlemsk","medlemsk",""
"MENY ALNA STRØMSVEIEN OSLO","meny","meny",""
"MENY BRYN ØSTENSJØVEIE OSLO","meny","meny",""
"MENY OPPSAL HAAKON TVETE OSLO","meny","meny",""
"MESTER GRØNN GJELLEBEKKST LIERSKOGEN","mester grønn gjellebekkst lierskogen","mester grønn gjellebekkst lierskogen",""
"MILJØ RENHOLDST JERNBANETORG OSLO","miljø renholdst jernbanetorg oslo","miljø renholdst jernbanetorg oslo",""
"MORGENLEVERING.NO","morgenlevering.no","morgenlevering.no",""
"MV BERLIN","mv berlin","mv berlin",""
"MV COPENHAGEN","mv copenhagen","mv copenhagen",""
"Maaaat","maaaat","maaaat",""
"Magistrat Krems Bad","magistrat krems bad","magistrat krems bad",""
"Maia-Lena Ottosson","maia-lena ottosson","maia-lena ottosson",""
"Matpenger","matpenger","matpenger",""
"Medlemskontingent","medlemskontingent","medlemskontingent",""
"Meininger Hotel Dresden G","meininger hotel dresden g","meininger hotel dresden g",""
"Mer Norway AS","mer norway as","mer norway as",""
"Mesh Youngstorget AS","mesh youngstorget as","mesh youngstorget as",""
"Monolitten Handball","monolitten handball","monolitten handball",""
"Morgenbladet AS","morgenbladet as","morgenbladet as",""
"NAF SYKKEL","naf sykkel","naf sykkel",""
"NARVESEN AVD201 GLADENGVN. OSLO","narvesen","narvesen",""
"NARVESEN BØLER T-BANE OSLO","narvesen","narvesen",""
"NARVESEN CONTINENTAL","narvesen","narvesen",""
"NARVESEN GA","narvesen","narvesen",""
"NARVESEN GR GRØNLAND TOR OSLO","narvesen","narvesen",""
"NARVESEN GROENLAND T-","narvesen","narvesen",""
"NARVESEN IN JERNBANETORG OSLO","narvesen","narvesen",""
"NARVESEN JERNBANET.T-","narvesen","narvesen",""
"NARVESEN OP DRONNING EUF OSLO","narvesen","narvesen",""
"NARVESEN TOYEN T-BANE OSLO","narvesen","narvesen",""
"NASJONAL JAZZSC POSTBOKS OSLO","nasjonal jazzsc postboks oslo","nasjonal jazzsc postboks oslo",""
"NATIONALTHEATRET.NO","nationaltheatret.no","nationaltheatret.no",""
"NEON.TECH","neon.tech","neon.tech",""
"NETFLIX.COM","netflix.com","netflix.com",""
"NETTGIRO M/KID OG FORF.DATO TRANS(ER) TYPE","nettgiro m/kid og forf.dato trans(er) type","nettgiro m/kid og forf.dato trans(er) type",""
"NILLE BØLER UTMARKVN. OSLO","nille bøler utmarkvn. oslo","nille bøler utmarkvn. oslo",""
"NJ FORSIKRING","nj forsikring","nj forsikring",""
"NO0716 ØSTENSJØVEIE OSLO","no0716 østensjøveie oslo","no0716 østensjøveie oslo",""
"NO0722 STENERSGATEN OSLO","no0722 stenersgaten oslo","no0722 stenersgaten oslo",""
"NO0885 KARL JOHANSG OSLO","no0885 karl johansg oslo","no0885 karl johansg oslo",""
"NORDBY BAKERI O HOLMLIA SENT OSLO","nordby bakeri o holmlia sent oslo","nordby bakeri o holmlia sent oslo",""
"NORDLYS DAGLIGV HAAKON TVETE OSLO","nordlys dagligv haakon tvete oslo","nordlys dagligv haakon tvete oslo",""
"NORLI BRYN SENT ØSTENSJØVEIE OSLO","norli","norli",""
"NORLI BØLER UTMARKSVN OSLO","norli","norli",""
"NORLI UNIVERSIT UNIVERSITETS OSLO","norli","norli",""
"NORMS PIZZA - CORTL","norms pizza - cortl","norms pizza - cortl",""
"NORSK ARBEIDSHELSE AS","norsk","norsk arbeidshelse","YES"
"NORSK BARNEBLAD SA","norsk","norsk barneblad","YES"
"NORSK FILMINSTITUTT","norsk","norsk filminstitutt","YES"
"NORSK JOURNALIS","norsk","norsk journalist","YES"
"NORSK JOURNALISTLAG","norsk","norsk journalistlag","YES"
"NORSK-SKOLEFOTO.NO","norsk","norsk skolefoto","YES"
"NORWAY DESIGN A STORTINGSGAT OSLO","norway design a stortingsgat oslo","norway design a stortingsgat oslo",""
"NYCT PAYGO","nyct paygo","nyct paygo",""
"Netflix.com","netflix.com","netflix.com",""
"Nettgiro","nettgiro","nettgiro",""
"Nintendo CA1378293444","nintendo ca","nintendo","YES"
"Nintendo CA1477690995","nintendo ca","nintendo","YES"
"Nintendo CA1489639023","nintendo ca","nintendo","YES"
"Nintendo CA1568908609","nintendo ca","nintendo","YES"
"Nintendo CA1576704143","nintendo ca","nintendo","YES"
"Nintendo CA1579999135","nintendo ca","nintendo","YES"
"Noestebarn netthand","noestebarn netthand","noestebarn netthand",""
"Norges speiderforbund","norges speiderforbund","norges speiderforbund",""
"Norsk Journalistlag","norsk","norsk journalistlag","YES"
"Norsk elbilforening","norsk","norsk elbilforening","YES"
"NØTTERØ BAKERI STORGATEN TØNSBERG","nøtterø bakeri storgaten tønsberg","nøtterø bakeri storgaten tønsberg",""
"OBOS BBL","obos","obos",""
"OBOS FACTORING AS","obos","obos",""
"OBS BYGG ALNABR SMALVOLLVEIE OSLO","obs bygg alnabr smalvollveie oslo","obs bygg alnabr smalvollveie oslo",""
"OK.DK","ok.dk","ok.dk",""
"OPENAI","openai","openai",""
"OPENAI CHATGPT SUBSCR","openai","openai",""
"ORLEN CS","orlen cs","orlen cs",""
"OSLEKSPRESSEN","oslekspressen","oslekspressen",""
"OSLO KLATRESENT OLAF HELSETS OSLO","oslo","oslo klatresent","YES"
"OSLO VARMEPUMPE AS","oslo","oslo varmpumpe","YES"
"OSLOSPC.COM","oslospc.com","oslospc.com",""
"OSLOTOOLCO","oslotoolco","oslotoolco",""
"OUTLAND OSLO GRENSEN OSLO","outland oslo grensen oslo","outland oslo grensen oslo",""
"Oda.com - 52q6sk","oda.com","oda.com",""
"Oda.com - 5gccz4","oda.com","oda.com",""
"Oda.com - 9wgx2c","oda.com","oda.com",""
"Oda.com - fpbuz9","oda.com","oda.com",""
"Oda.com - hykugt","oda.com","oda.com",""
"Oda.com - j8tmfu","oda.com","oda.com",""
"Oda.com - kuj97d","oda.com","oda.com -","YES"
"Oda.com - kv78ck","oda.com","oda.com -","YES"
"Oda.com - rsudbq","oda.com","oda.com -","YES"
"Oda.com - v6ar6k","oda.com","oda.com -","YES"
"Oestensjoe legesent","oestensjoe legesent","oestensjoe legesent",""
"OffentligWCJCDecaux","offentligwcjcdecaux","offentligwcjcdecaux",""
"Onepark AS","onepark as","onepark as",""
"Oppussing","oppussing","oppussing",""
"Oslo kommune Innkrevingsetaten","oslo kommune innkrevingsetaten","oslo kommune innkrevingsetaten",""
"Ostensjo Havn","ostensjo havn","ostensjo havn",""
"Overført til annen konto","overført til annen konto","overført til annen konto",""
"PANDURO KARL JOHANS OSLO","panduro karl johans oslo","panduro karl johans oslo",""
"PARADIS AVDELIN OPERA GT OSLO","paradis avdelin opera gt oslo","paradis avdelin opera gt oslo",""
"PARKERINGS APPEN","parkerings","parkerings appen","YES"
"PARKERINGSSELSKAPET AS","parkerings","parkeringsselskapet","YES"
"PAYPAL INVESTIGATI","paypal","paypal",""
"PAYPAL TIANHEQJZHU","paypal","paypal",""
"PBP AS","pbp as","pbp as",""
"PLANTASJEN KOTE GENERAL RUGE OSLO","plantasjen kote general ruge oslo","plantasjen kote general ruge oslo",""
"PLAYSTATION","playstation","playstation",""
"POINT (A355) OSL LUFTHAVN GARDERMOEN","point (a","osl lufthavn gardermoen","YES"
"POINT (A384) OSL LUFTHAVN GARDERMOEN","point (a","osl lufthavn gardermoen","YES"
"POSTEN BRING AS","posten bring as","posten bring as",""
"POSTHALLEN DRINKHUB AS","posthallen drinkhub as","posthallen drinkhub as",""
"POTBELLY #","potbelly #","potbelly #",""
"POWER SKULLERUD ENEBAKKVEIEN OSLO","power skullerud enebakkveien oslo","power skullerud enebakkveien oslo",""
"PROSHOP.NO","proshop.no","proshop.no",""
"Parkovani --","parkovani","parkovani --","YES"
"Peppes - Lambertset","peppes - lambertset","peppes - lambertset",""
"Per Inge Øye Hansen","per inge øye hansen","per inge øye hansen",""
"Polarn o Pyret Norge AS","polarn o pyret norge as","polarn o pyret norge as",""
"Politiets Administrative Center Swift DABADKKK","politiets administrative center swift dabadkkk","politiets administrative center swift dabadkkk",""
"Posten Norge AS Pos","posten norge as pos","posten norge as pos",""
"RAADHUSET BAR KLINGENBERGG OSLO","raadhuset bar klingenbergg oslo","raadhuset bar klingenbergg oslo",""
"RAINBOWTEKSTIL.NO","rainbowtekstil.no","rainbowtekstil.no",""
"RECHARGE AS","recharge as","recharge as",""
"REMA 1000 KARIH PER KROHGS V OSLO","rema","rema 1000","YES"
"REMA BØLER","rema","rema 1000","YES"
"REMA BØLER BØLERLIA OSLO","rema","rema 1000","YES"
"REMA MALVIK SEN STOKMOVEGEN STJØRDAL","rema","rema 1000","YES"
"REMA VOLDA INDUSTRIGATA VOLDA","rema","rema 1000","YES"
"RINGEN KINO SANNERGT 6D OSLO","ringen kino sannergt 6d oslo","ringen kino sannergt 6d oslo",""
"ROYALDESIGN.NO","royaldesign.no","royaldesign.no",""
"RUSTAD KJØTT&DAGL. OSLO","rustad kjøtt&dagl. oslo","rustad kjøtt&dagl. oslo",""
"RUTERAPPEN","ruterappen","ruterappen",""
"Raedda Barnen","raedda barnen","raedda barnen",""
"Recharge","recharge","recharge",""
